asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,product_availability,climate_pledge_friendly,sales_volume,delivery,has_variations,unit_price,unit_count,coupon_text
B0BQ118F2T,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,$99.00 ,$169.99 ,USD,4,1319,16,$69.88 ,FALSE,FALSE,TRUE,Only 1 left in stock - order soon.,FALSE,4K+ bought in past month,"FREE delivery Tue, Sep 24 Only 1 left in stock - order soon.",FALSE,,,
B0CV2W1TKZ,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Ring Grip Case Bundle) (Light Blue)",$153.99 ,,USD,4.2,186,4,$147.50 ,FALSE,FALSE,TRUE,,FALSE,1K+ bought in past month,"FREE delivery Tue, Sep 24",FALSE,,,
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",$69.00 ,$99.99 ,USD,3.8,597,35,$64.99 ,FALSE,FALSE,TRUE,,FALSE,2K+ bought in past month,"FREE delivery Tue, Sep 24",TRUE,,,
B0CHH1N9VY,TracFone | Motorola Moto g Pure | Locked | 32GB | 4000 mAh Battery | 13 MP Dual Camera System | 6.5&quot; Max Vision HD+ Display | Blue,$49.99 ,,USD,4.2,2814,3,$43.99 ,FALSE,FALSE,TRUE,,FALSE,500+ bought in past month,"FREE delivery Tue, Sep 24",FALSE,,,
B09T3MQSVP,"Samsung Galaxy A13 5G Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",$88.09 ,$98.27 ,USD,3.8,1338,31,$70.40 ,FALSE,FALSE,TRUE,,FALSE,500+ bought in past month,"FREE delivery Mon, Sep 30",FALSE,,,
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",$49.99 ,$59.99 ,USD,4.4,3843,3,$25.19 ,FALSE,TRUE,TRUE,,FALSE,4K+ bought in past month,"FREE delivery Tue, Sep 24",FALSE,$25.00 ,2,
B0C2SWQBMB,"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39",$149.99 ,$249.99 ,USD,4.2,2637,8,$100.72 ,FALSE,FALSE,TRUE,,FALSE,2K+ bought in past month,"FREE delivery Tue, Sep 24",TRUE,,,
B0CTD47P22,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Blue,$149.50 ,$158.00 ,USD,4.2,253,9,$146.50 ,FALSE,FALSE,TRUE,,FALSE,500+ bought in past month,"FREE delivery Tue, Sep 24",FALSE,,,
B0CSB14R7J,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black,$139.99 ,,USD,4.3,573,15,$136.62 ,FALSE,FALSE,TRUE,,FALSE,1K+ bought in past month,"FREE delivery Tue, Sep 24",FALSE,,,
B0CHK6LWKZ,TracFone | Samsung Galaxy A03s | Locked | 32GB | 5000mAh Battery | 48MP Main Camera | 6.5-in. HD+Infinity-V Display | Black,$59.99 ,,USD,4,258,4,$50.48 ,FALSE,FALSE,TRUE,,FALSE,1K+ bought in past month,"FREE delivery Tue, Sep 24",FALSE,,,
